Ecozone,Admn.County,Muncipality,Muncipality_nr,Farmstead,Gnr,Bnr,AskeladdenID,UiB.nr,Site type,SiteID,Site name,Anthropogenic_C14,Uncal.C14Age,C14SD,C14LabCode,Cal.BP_oldest,Cal.BP_median,Cal.BP_youngest,Early Mesolithic,Middle Mesolithic,Late Mesolithic,Early Neolithic,Middle Neolithic (A),Middle Neolithic (B),Late Neolithic,Site size (m2),Elevation (Max),Elevation (Mean),Elevation (Median),Elevation (Min),Elevation (stdev),Conventional date,Conventional date based on Cal.BP (median),X (UTM32N),Y (UTM32N),Site_ID,Reference
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,162770,B14601,Open air,S683,Havnen lok. 14,Y,4180,90,Beta-48161,4877,4698,4502,0,0,0,0,0,0,1,400,8.5,6.8,6.5,6.3,0.7,Late Neolithic/Early Bronze Age,N/A,301547.5014,6866134.096,301547.50146866134.096,
Outer coast,Hordaland,Kvinnherad,4617,Ysthus,216. 217,6. 1,111956,N/A,Open air,S877,Ysthus (Borgundøy) - Bosetningsspor,Y,3340,40,Beta-228942,3643,3559,3465,0,0,0,0,0,0,1,149.46,47,45.6,45.3,44.4,1,Late Neolithic/Early Bronze Age,N/A,313903.3398,6626279.325,313903.33986626279.325,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/111956-1
Mainland,Hordaland,Etne,4611,N/A,37,8,230405,B15666,Open air,S882,Austrheim lokalitet 1,Y,3600,80,Beta-107028,4099,3910,3692,0,0,0,0,0,0,1,4036.21,57.2,42.8,41.3,35.6,5.7,Late Neolithic/Early Bronze Age,Late Neolithic,329899.5477,6618243.755,329899.54776618243.755,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/230405-0
Outer coast,Hordaland,Stord,4614,Føyno,51,3. 50,108566,B15202,Open air,S239,Føyno - Lok. 39. Jensavikedalen,Y,4960,160,Beta-87281,6009,5712,5432,0,0,0,0,1,0,0,45,24.1,14.1,12.5,8.3,4.7,Early/Middle Neolithic,Early/Middle Neolithic,297476.0819,6627731.389,297476.08196627731.389,
Outer coast,Sogn og Fjordane,Solund,4636,Ytrøyna,18,N/A,55286,B11671,Open air,S841,Fetts fk.nr.2 / Grønehelleren,Y,4280,60,T-761,4984,4850,4791,0,0,0,0,0,0,1,75,22.6,10.9,10.5,9.6,5.9,Late Neolithic/Early Bronze Age,N/A,268228.9415,6776326.899,268228.94156776326.899,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/55286-1
Outer coast,Hordaland,Øygarden,4626,Breivik,245,6,94838,B14618,Open air,S341,Breivik - Lok. 6. Revarvika,Y,7600,90,Ua-2454,8552,8402,8280,0,0,1,0,0,0,0,31,17.5,12.9,11.7,10.5,2.8,Late Mesolithic,Late Mesolithic,271323.0217,6720951.923,271323.02176720951.923,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,95607,N/A,Open air,S1011,Bjorøy - Lok. 6. Katlaberget,Y,5850,40,Beta - 285778,6750,6667,6550,0,0,1,0,0,0,0,495,16,13.5,12.9,12.3,1.5,Late Mesolithic,Late Mesolithic,288900.363,6694554.524,288900.3636694554.524,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,95607,N/A,Open air,S1011,Bjorøy - Lok. 6. Katlaberget,Y,6680,40,Beta - 285774,7617,7539,7469,0,0,1,0,0,0,0,495,16,13.5,12.9,12.3,1.5,Late Mesolithic,Late Mesolithic,288900.363,6694554.524,288900.3636694554.524,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,95607,N/A,Open air,S1011,Bjorøy - Lok. 6. Katlaberget,Y,6240,40,Beta - 285776,7258,7161,7152,0,0,1,0,0,0,0,495,16,13.5,12.9,12.3,1.5,Late Mesolithic,Late Mesolithic,288900.363,6694554.524,288900.3636694554.524,
Fjords,Hordaland,Vaksdal,4628,N/A,49,4. 70,15917,B8600,Rock shelter,S350,Skipshelleren Straume - Fetts fk. 1,Y,6490,50,TUa-5859,7504,7379,7305,0,0,1,0,0,0,0,260,16.6,15,15.7,12.8,1.6,Late Mesolithic,Late Mesolithic,324940.5808,6728568.175,324940.58086728568.175,
Outer coast,Hordaland,Bømlo,4613,N/A,53,53. 3,45758,B17906/ B18079,Open air,S5,Hovland - Aurebettjødno XVII,Y,5700,30,Beta-512335,6563,6477,6401,0,0,1,0,0,0,0,1629,11.3,10.4,10.6,8.2,0.8,Late Mesolithic,Late Mesolithic,288090,6613746,2.88091E+12,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/45758-1
Outer coast,Hordaland,Øygarden,4626,Glesnes,133,1,6053,B17038,Open air,S1017,Glesnes - Fetts fk. 10/2. Porsvika,Y,6960,30,Beta-366162,7861,7785,7692,0,0,1,0,0,0,0,1023.68,21.9,19.4,19.9,15.5,2,Late Mesolithic,Late Mesolithic,281162.3099,6681664.341,281162.30996681664.341,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/6053-1
Outer coast,Hordaland,Bergen,4601,Straume,21,4,116973,B16850,Open air,S312,Straume lokalitet 5,Y,4105,35,Tua-7458,4725,4625,4520,0,0,0,0,1,0,1,120,13.3,12.5,12.4,11.2,0.8,Late Neolithic/Early Bronze Age,Early/Middle Neolithic,294179.8915,6693749.176,294179.89156693749.176,
Outer coast,Hordaland,Bømlo,4613,N/A,N/A,N/A,6719,N/A,Open air,S4,Hovland - Aurebettjødno II,Y,4840,30,Beta-483481,5605,5577,5550,0,0,0,0,0,0,0,63,14.5,12.9,12.6,12.1,0.7,Early/Middle Neolithic,Early/Middle Neolithic,288022.2231,6613714.11,288022.22316613714.11,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/6719-1
Outer coast,Hordaland,Bømlo,4613,N/A,N/A,N/A,6719,N/A,Open air,S4,Hovland - Aurebettjødno II,Y,4680,30,Beta-512324,5475,5393,5318,0,0,0,0,0,0,0,63,14.5,12.9,12.6,12.1,0.7,Early/Middle Neolithic,Early/Middle Neolithic,288022.2231,6613714.11,288022.22316613714.11,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/6719-1
Outer coast,Hordaland,Bømlo,4613,N/A,N/A,N/A,6719,N/A,Open air,S4,Hovland - Aurebettjødno II,Y,5210,90,T-3203,6203,5987,5841,0,0,0,0,0,0,0,63,14.5,12.9,12.6,12.1,0.7,Early/Middle Neolithic,Early/Middle Neolithic,288022.2231,6613714.11,288022.22316613714.11,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/6719-1
Outer coast,Hordaland,Bergen,4601,Straume,21,4,116973,B16850,Open air,S312,Straume lokalitet 5,Y,5210,30,Beta-322294,6004,5965,5907,0,0,0,1,0,0,0,120,13.3,12.5,12.4,11.2,0.8,Early/Middle Neolithic,Early/Middle Neolithic,294179.8915,6693749.176,294179.89156693749.176,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,95607,N/A,Open air,S1011,Bjorøy - Lok. 6. Katlaberget,Y,6590,40,Beta - 285780,7518,7485,7426,0,0,1,0,0,0,0,495,16,13.5,12.9,12.3,1.5,Late Mesolithic,Late Mesolithic,288900.363,6694554.524,288900.3636694554.524,
Outer coast,Hordaland,Bømlo,4613,N/A,53,53. 3,45758,B17906/ B18079,Open air,S5,Hovland - Aurebettjødno XVII,Y,4440,30,Beta-512331,5081,5045,4956,0,0,0,0,1,0,0,1629,11.3,10.4,10.6,8.2,0.8,Early/Middle Neolithic,Early/Middle Neolithic,288090,6613746,2.88091E+12,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/45758-1
Fjords,Hordaland,Tysnes,4616,N/A,N/A,N/A,60624,N/A,Open air,S296,Gjerstad - Steinalderlokalitet,Y,6470,40,Beta-239461,7431,7370,7306,0,0,1,0,0,0,0,51,17,16.9,16.8,16.6,0.2,Late Mesolithic,Late Mesolithic,306848.3123,6660970.979,306848.31236660970.979,
Outer coast,Hordaland,Bømlo,4613,N/A,53,53. 3,45758,B17906/ B18079,Open air,S5,Hovland - Aurebettjødno XVII,Y,4920,30,Beta-483482,5718,5638,5591,0,0,0,0,0,0,0,1629,11.3,10.4,10.6,8.2,0.8,Early/Middle Neolithic,Early/Middle Neolithic,288090,6613746,2.88091E+12,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/45758-1
Outer coast,Hordaland,Bømlo,4613,N/A,53,53. 3,45758,B17906/ B18079,Open air,S5,Hovland - Aurebettjødno XVII,Y,4710,15,Tra-15193,5408,5372,5325,0,0,0,0,0,0,0,1629,11.3,10.4,10.6,8.2,0.8,Early/Middle Neolithic,Early/Middle Neolithic,288090,6613746,2.88091E+12,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/45758-1
Outer coast,Hordaland,Bømlo,4613,N/A,53,53. 3,45758,B17906/ B18079,Open air,S5,Hovland - Aurebettjødno XVII,Y,4471,15,Tra-15189,5282,5195,5164,0,0,0,0,0,0,0,1629,11.3,10.4,10.6,8.2,0.8,Early/Middle Neolithic,Early/Middle Neolithic,288090,6613746,2.88091E+12,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/45758-1
Outer coast,Hordaland,Bømlo,4613,N/A,53,53. 3,45758,B17906/ B18079,Open air,S5,Hovland - Aurebettjødno XVII,Y,4370,30,Beta-515808,4984,4927,4855,0,0,0,0,0,0,0,1629,11.3,10.4,10.6,8.2,0.8,Early/Middle Neolithic,Early/Middle Neolithic,288090,6613746,2.88091E+12,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/45758-1
Outer coast,Hordaland,Bømlo,4613,N/A,53,53. 3,45758,B17906/ B18079,Open air,S5,Hovland - Aurebettjødno XVII,Y,4298,14,TRa-15192,4866,4853,4839,0,0,0,0,0,0,1,1629,11.3,10.4,10.6,8.2,0.8,Late Neolithic/Early Bronze Age,Early/Middle Neolithic,288090,6613746,2.88091E+12,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/45758-1
Outer coast,Hordaland,Bømlo,4613,N/A,53,53. 3,45758,B17906/ B18079,Open air,S5,Hovland - Aurebettjødno XVII,Y,4292,14,TRa-15194,4864,4851,4837,0,0,0,0,0,0,1,1629,11.3,10.4,10.6,8.2,0.8,Late Neolithic/Early Bronze Age,Early/Middle Neolithic,288090,6613746,2.88091E+12,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/45758-1
Outer coast,Hordaland,Bømlo,4613,N/A,53,53. 3,45758,B17906/ B18079,Open air,S5,Hovland - Aurebettjødno XVII,Y,4224,15,Tra-15190,4847,4827,4815,0,0,0,0,0,0,1,1629,11.3,10.4,10.6,8.2,0.8,Late Neolithic/Early Bronze Age,Early/Middle Neolithic,288090,6613746,2.88091E+12,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/45758-1
Outer coast,Hordaland,Bømlo,4613,N/A,53,53. 3,45758,B17906/ B18079,Open air,S5,Hovland - Aurebettjødno XVII,Y,4110,30,Beta-515809,4655,4611,4519,0,0,0,0,0,0,1,1629,11.3,10.4,10.6,8.2,0.8,Late Neolithic/Early Bronze Age,Early/Middle Neolithic,288090,6613746,2.88091E+12,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/45758-1
Outer coast,Hordaland,Bømlo,4613,N/A,53,53. 3,45758,B17906/ B18079,Open air,S5,Hovland - Aurebettjødno XVII,Y,4930,30,Beta-512333,5720,5642,5594,0,0,0,1,0,0,0,1629,11.3,10.4,10.6,8.2,0.8,Early/Middle Neolithic,Early/Middle Neolithic,288090,6613746,2.88091E+12,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/45758-1
Outer coast,Hordaland,Sveio,4612,N/A,N/A,N/A,106317,N/A,Open air,S7,F?rde - Lokalitet 6 (1999),Y,6660,140,T-14517,7788,7535,7278,0,0,1,0,0,0,0,300,14,13.9,13.9,13.8,0.1,Late Mesolithic,Late Mesolithic,301210.2985,6613442.254,301210.29856613442.254,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/106317-1
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,95607,N/A,Open air,S1011,Bjorøy - Lok. 6. Katlaberget,Y,5350,40,Beta - 285772,6215,6131,6102,0,0,1,0,0,0,0,495,16,13.5,12.9,12.3,1.5,Late Mesolithic,Late Mesolithic,288900.363,6694554.524,288900.3636694554.524,
Fjords,Hordaland,Alver,4631,Flatøy,1,342,107897,B12782,Open air,S355,Flatøy - Lok. VIII,Y,3540,70,T-2945,3991,3825,3636,0,0,0,0,0,0,1,118,13.7,12.9,12.9,12.2,0.6,Late Neolithic/Early Bronze Age,Late Neolithic,294720.4475,6716694.859,294720.44756716694.859,
Fjords,Hordaland,Alver,4631,Flatøy,1,234. 342,107943,B14751,Open air,S354,Flatøy - Krossnes 2. 3 og 6,Y,3410,140,Beta-41722,3997,3672,3364,0,0,0,0,0,0,1,289,16,15.2,15.4,14.3,0.7,Late Neolithic/Early Bronze Age,N/A,294684.5473,6716317.568,294684.54736716317.568,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,95607,N/A,Open air,S1011,Bjorøy - Lok. 6. Katlaberget,Y,5230,40,Beta - 285782,6024,5984,5911,0,0,0,1,0,0,0,495,16,13.5,12.9,12.3,1.5,Early/Middle Neolithic,Early/Middle Neolithic,288900.363,6694554.524,288900.3636694554.524,
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,113778,N/A,Rock shelter,S1015,Myro - Lok. 9b. Håkonshella,Y,3360,30,Beta-315316,3645,3591,3488,0,0,0,0,0,0,1,93,13.1,12.4,12.7,11.8,0.5,Late Neolithic/Early Bronze Age,N/A,289294.2591,6695954.704,289294.25916695954.704,
Fjords,Hordaland,Bergen,4601,Myro,129,5. 178. 597,113776,B16855,Open air,S1010,Myro - Lok. 8. Håkonshella,Y,6611,42,Ua-44664,7521,7499,7429,0,0,1,0,0,0,0,151,15.4,14.5,14.5,13.8,0.5,Late Mesolithic,Late Mesolithic,289291.4074,6695991.244,289291.40746695991.244,
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,224196,N/A,Open air,S310,Stamsneset Lok 1,Y,4440,30,Beta-451448,5081,5045,4956,0,0,0,0,1,0,0,338,14.2,11.1,10.9,8.4,2.1,Early/Middle Neolithic,Early/Middle Neolithic,292656.8557,6693136.526,292656.85576693136.526,
Fjords,Hordaland,Bergen,4601,Myro,129,5. 178. 597,113776,B16855,Open air,S1010,Myro - Lok. 8. Håkonshella,Y,7113,42,Ua-44665,8016,7942,7915,0,0,1,0,0,0,0,151,15.4,14.5,14.5,13.8,0.5,Late Mesolithic,Late Mesolithic,289291.4074,6695991.244,289291.40746695991.244,
Outer coast,Hordaland,Øygarden,4626,Bjorøy,50,557. 672. 673. 717. 718,95602,B14571,Open air,S314,Bjorøy - Lok. 4. Nilsvika,Y,4860,60,Beta-56843,5734,5592,5468,0,0,0,1,0,0,0,875,12.9,9,9.7,4.1,2.6,Early/Middle Neolithic,Early/Middle Neolithic,288961.1326,6694606.056,288961.13266694606.056,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95602-1
Fjords,Hordaland,Bergen,4601,Myro,129,5. 178. 597,113776,B16855,Open air,S1010,Myro - Lok. 8. Håkonshella,Y,7860,40,Beta-344208,8779,8645,8543,0,1,0,0,0,0,0,151,15.4,14.5,14.5,13.8,0.5,Middle Mesolithic,Middle Mesolithic,289291.4074,6695991.244,289291.40746695991.244,
Fjords,Hordaland,Bergen,4601,Myro,129,5. 178. 597,113776,B16855,Open air,S1010,Myro - Lok. 8. Håkonshella,Y,6804,41,Ua-44662,7700,7639,7574,0,0,1,0,0,0,0,151,15.4,14.5,14.5,13.8,0.5,Late Mesolithic,Late Mesolithic,289291.4074,6695991.244,289291.40746695991.244,
Outer coast,Hordaland,Øygarden,4626,Bjorøy,50,557. 672. 673. 717. 718,95602,B14571,Open air,S314,Bjorøy - Lok. 4. Nilsvika,Y,4590,100,Beta-67789,5486,5271,4969,0,0,0,1,1,1,0,875,12.9,9,9.7,4.1,2.6,Early/Middle Neolithic,Early/Middle Neolithic,288961.1326,6694606.056,288961.13266694606.056,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95602-1
Outer coast,Hordaland,Øygarden,4626,Bjorøy,50,557. 672. 673. 717. 718,95602,B14571,Open air,S314,Bjorøy - Lok. 4. Nilsvika,Y,4620,100,Beta-67783,5583,5327,5040,0,0,0,1,1,1,0,875,12.9,9,9.7,4.1,2.6,Early/Middle Neolithic,Early/Middle Neolithic,288961.1326,6694606.056,288961.13266694606.056,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95602-1
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,95607,N/A,Open air,S1011,Bjorøy - Lok. 6. Katlaberget,Y,5590,40,Beta - 285765,6447,6361,6296,0,0,1,0,0,0,0,495,16,13.5,12.9,12.3,1.5,Late Mesolithic,Late Mesolithic,288900.363,6694554.524,288900.3636694554.524,
Outer coast,Hordaland,Øygarden,4626,N/A,133,1. 162,114633,B17044/ B17006,Open air,S1016,Glesnes - Lok. 9. Porsvika,Y,6730,30,Beta-366159,7665,7594,7566,0,0,1,0,0,0,0,98.1,19.2,14.4,15.1,11.7,2.7,Late Mesolithic,Late Mesolithic,281212.8937,6681568.173,281212.89376681568.173,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/114633-1
Outer coast,Hordaland,Bømlo,4613,Røyksund,27,2. 23,96344,B15180,Open air,S288,Røyksund - Lok. 13. Kjøttvika,Y,3060,50,Beta-87282,3384,3268,3146,0,0,0,0,0,0,1,290,14.4,13.6,14.1,11.8,1,Late Neolithic/Early Bronze Age,N/A,294346.8655,6628277.85,294346.86556628277.85,
Outer coast,Hordaland,Øygarden,4626,Glesnes,133,1,6053,B17038,Open air,S1017,Glesnes - Fetts fk. 10/2. Porsvika,Y,5110,30,Beta-366161,5829,5814,5750,0,0,0,1,0,0,0,1023.68,21.9,19.4,19.9,15.5,2,Early/Middle Neolithic,Early/Middle Neolithic,281162.3099,6681664.341,281162.30996681664.341,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/6053-1
Fjords,Hordaland,Bergen,4601,Myro,129,5. 178. 597,113776,B16855,Open air,S1010,Myro - Lok. 8. Håkonshella,Y,6816,48,Ua-44661,7743,7647,7575,0,0,1,0,0,0,0,151,15.4,14.5,14.5,13.8,0.5,Late Mesolithic,Late Mesolithic,289291.4074,6695991.244,289291.40746695991.244,
Outer coast,Hordaland,Bømlo,4613,N/A,27,23. 24,96343,B15179,Open air,S1020,Røyksund - Lok. 12. Kjøttvika,Y,5930,70,Beta-91275,6946,6760,6607,0,0,1,0,0,0,0,738.55,14.9,14.3,14.4,13.9,0.3,Late Mesolithic,Late Mesolithic,294320.1772,6628322.861,294320.17726628322.861,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96343-1
Fjords,Hordaland,Bergen,4601,Myro,129,5. 178. 597,113776,B16855,Open air,S1010,Myro - Lok. 8. Håkonshella,Y,7643,47,Ua-44667,8540,8433,8375,0,0,1,0,0,0,0,151,15.4,14.5,14.5,13.8,0.5,Late Mesolithic,Late Mesolithic,289291.4074,6695991.244,289291.40746695991.244,
Outer coast,Hordaland,Bømlo,4613,Røyksund,27,2. 23,96344,B15180,Open air,S288,Røyksund - Lok. 13. Kjøttvika,Y,3660,50,Beta-87276,4096,3987,3846,0,0,0,0,0,0,1,290,14.4,13.6,14.1,11.8,1,Late Neolithic/Early Bronze Age,Late Neolithic,294346.8655,6628277.85,294346.86556628277.85,
Outer coast,Hordaland,Stord,4614,Føyno,51,3. 50,108566,B15202,Open air,S239,Føyno - Lok. 39. Jensavikedalen,Y,3130,160,Beta-90359,3700,3324,2922,0,0,0,0,0,0,1,45,24.1,14.1,12.5,8.3,4.7,Late Neolithic/Early Bronze Age,N/A,297476.0819,6627731.389,297476.08196627731.389,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,95607,N/A,Open air,S1011,Bjorøy - Lok. 6. Katlaberget,Y,5730,40,Beta - 285766,6637,6525,6437,0,0,1,0,0,0,0,495,16,13.5,12.9,12.3,1.5,Late Mesolithic,Late Mesolithic,288900.363,6694554.524,288900.3636694554.524,
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,6477,N/A,Open air,S285,Straume - Fetts fk. 3. Kotedalen,Y,4640,60,T-7149,5485,5392,5277,0,0,0,0,1,0,0,400,24.2,16.5,15.3,11.2,4.9,Early/Middle Neolithic,Early/Middle Neolithic,280411.4449,6739309.806,280411.44496739309.806,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,95607,N/A,Open air,S1011,Bjorøy - Lok. 6. Katlaberget,Y,6070,40,Beta - 285767,7016,6924,6792,0,0,1,0,0,0,0,495,16,13.5,12.9,12.3,1.5,Late Mesolithic,Late Mesolithic,288900.363,6694554.524,288900.3636694554.524,
Fjords,Hordaland,Alver,4631,Flatøy,1,234. 342,107943,B14751,Open air,S354,Flatøy - Krossnes 2. 3 og 6,Y,4280,60,Beta-41721,4984,4850,4791,0,0,0,0,0,0,1,289,16,15.2,15.4,14.3,0.7,Late Neolithic/Early Bronze Age,Early/Middle Neolithic,294684.5473,6716317.568,294684.54736716317.568,
Outer coast,Hordaland,Øygarden,4626,N/A,133,1. 162,114633,B17044/ B17006,Open air,S1016,Glesnes - Lok. 9. Porsvika,Y,6860,30,Beta-366158,7756,7687,7616,0,0,1,0,0,0,0,98.1,19.2,14.4,15.1,11.7,2.7,Late Mesolithic,Late Mesolithic,281212.8937,6681568.173,281212.89376681568.173,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/114633-1
Fjords,Hordaland,Bergen,4601,Myro,129,5. 178. 597,113776,B16855,Open air,S1010,Myro - Lok. 8. Håkonshella,Y,6677,42,Ua-44666,7618,7537,7466,0,0,1,0,0,0,0,151,15.4,14.5,14.5,13.8,0.5,Late Mesolithic,Late Mesolithic,289291.4074,6695991.244,289291.40746695991.244,
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,140069,N/A,Open air,S935,Hylkjeneset lok 4,Y,3390,40,Beta-286521,3720,3625,3548,0,0,0,0,0,0,1,N/A,17.5,17.2,17.2,16.9,0.3,Late Neolithic/Early Bronze Age,N/A,300203.261,6713888.223,300203.2616713888.223,
Outer coast,Hordaland,Austrheim,4632,N/A,N/A,N/A,55436,N/A,Open air,S953,Fonnes - Storemyra,Y,3530,30,Beta-402878,3894,3791,3713,0,0,0,0,0,0,1,N/A,19.4,17.7,17.9,16.3,0.9,Late Neolithic/Early Bronze Age,N/A,281406.3014,6747683.633,281406.30146747683.633,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,162751,B14606,Open air,S462,Havnen lok. 19,Y,6210,50,Beta-131210,7180,7094,6977,0,0,0,0,0,0,0,1500,12.4,8.2,8.3,6.1,1.7,Late Mesolithic,N/A,301600.2386,6866082.132,301600.23866866082.132,
Outer coast,Hordaland,Austrheim,4632,N/A,N/A,N/A,55436,N/A,Open air,S953,Fonnes - Storemyra,Y,3320,30,Beta-402879,3591,3529,3458,0,0,0,0,0,0,1,N/A,19.4,17.7,17.9,16.3,0.9,Late Neolithic/Early Bronze Age,N/A,281406.3014,6747683.633,281406.30146747683.633,
Outer coast,Hordaland,Austrheim,4632,N/A,N/A,N/A,55436,N/A,Open air,S953,Fonnes - Storemyra,Y,3390,30,Beta-402877,3702,3624,3560,0,0,0,0,0,0,1,N/A,19.4,17.7,17.9,16.3,0.9,Late Neolithic/Early Bronze Age,N/A,281406.3014,6747683.633,281406.30146747683.633,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,266379,B18629,Open air,S270,Kvasnes. Lok. 3,Y,3660,30,Beta-549603,4086,3985,3897,0,0,0,0,0,0,1,3837,14.7,11.3,11.2,8.4,1.8,Late Neolithic/Early Bronze Age,Late Neolithic,363769.6334,6924198.03,363769.63346924198.03,
Outer coast,Hordaland,Austrheim,4632,N/A,N/A,N/A,55436,N/A,Open air,S953,Fonnes - Storemyra,Y,3320,30,Beta-402880,3591,3529,3458,0,0,0,0,0,0,1,N/A,19.4,17.7,17.9,16.3,0.9,Late Neolithic/Early Bronze Age,N/A,281406.3014,6747683.633,281406.30146747683.633,
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,161080,N/A,Open air,S951,LOK 1. Keilen,Y,6840,40,Beta-324102,7751,7668,7585,0,0,1,0,0,0,0,N/A,13.8,13.6,13.6,13.5,0.2,Late Mesolithic,Late Mesolithic,282382.7034,6745246.023,282382.70346745246.023,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,266379,B18629,Open air,S270,Kvasnes. Lok. 3,Y,3450,30,Beta-549606,3830,3712,3631,0,0,0,0,0,0,1,3837,14.7,11.3,11.2,8.4,1.8,Late Neolithic/Early Bronze Age,N/A,363769.6334,6924198.03,363769.63346924198.03,
Outer coast,Hordaland,Austrheim,4632,N/A,N/A,N/A,179116,N/A,Open air,S954,Fonnes - lokalitet 8,Y,3410,30,Beta-402884,3721,3648,3568,0,0,0,0,0,0,1,N/A,19.9,18.8,18.8,17.6,0.7,Late Neolithic/Early Bronze Age,N/A,281346.1089,6747697.61,281346.10896747697.61,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,162770,B14601,Open air,S683,Havnen lok. 14,Y,3410,80,Beta-48162,3850,3658,3458,0,0,0,0,0,0,1,400,8.5,6.8,6.5,6.3,0.7,Late Neolithic/Early Bronze Age,N/A,301547.5014,6866134.096,301547.50146866134.096,
Outer coast,Hordaland,Alver,4631,Leirvik,304,25,108107,N/A,Open air,S937,Leirvik lok. 20b M. Golf,Y,3160,90,Beta-100867,3575,3372,3148,0,0,0,0,0,0,1,714.01,10.3,9.2,9.1,8.4,0.7,Late Neolithic/Early Bronze Age,N/A,285342.7433,6718191.983,285342.74336718191.983,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/108107-1
Outer coast,Sunnmøre,Giske,1532,Molnes,2,10,270369,B18554,Open air,S956,Storebakken I,Y,3650,30,Beta-565763,4086,3969,3885,0,0,0,0,0,0,1,4870,46.3,43.4,43.9,39.6,1.7,Late Neolithic/Early Bronze Age,Late Neolithic,350957.5183,6942399.289,350957.51836942399.289,https://askeladden.ra.no/AskeladdenRedigering/#/lokalitetdetails/270369
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,92576,B17392,Open air,S409,Not?y strandhyttegrend,Y,6870,30,Beta-400830,7785,7698,7657,0,0,1,0,0,0,0,7791,11.9,7.6,7.5,4.1,1.6,Late Mesolithic,Late Mesolithic,329028.2143,6913189.818,329028.21436913189.818,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,117465,N/A,Rock art site,S383,Vingen Bak Vehammaren,Y,5830,50,Tua-6953,6745,6638,6495,0,0,0,0,0,0,0,3311,20.2,16,16.6,7.2,3,Early/Middle Neolithic,N/A,305873.5075,6860363.156,305873.50756860363.156,
Outer coast,Hordaland,Øygarden,4626,Bjorøy,50,7. 673,95608,B14574,Open air,S643,Bjorøy - Lok. 7. Nilsvikdalen,Y,5730,40,Beta-285766,6637,6525,6437,0,0,1,0,0,0,0,581,14.4,13.1,13.5,11.5,1.2,Late Mesolithic,Late Mesolithic,288997.0363,6694588.75,288997.03636694588.75,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,162672,B14604,Open air,S399,17 Havnen,Y,6720,80,Beta-78314,7689,7584,7430,0,0,1,0,0,0,0,300,10.7,7.7,7.4,5.7,1.5,Late Mesolithic,N/A,301525.563,6866196.212,301525.5636866196.212,
