Ecozone,Admn.County,Muncipality,Muncipality_nr,Farmstead,Gnr,Bnr,AskeladdenID,UiB.nr,Site type,Site name,m2,Conventional date,X (UTM32N),Y (UTM32N),M.a.s.l (Geom_Max),M.a.s.l (Geom_Mean),M.a.s.l (Geom_Median),M.a.s.l (Geom_Min),M.a.s.l (Geom_Stdev),M.a.s.l (Single point),Reference
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,211655,N/A,Open air,Bildøy Lok. 26,99,Early Mesolithic,285248.0448,6697910.925,17.77561378,16.94183172,16.95079327,15.27344322,0.935936622,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/211655-1
Fjords,Hordaland,Øygarden,4626,N/A,N/A,N/A,211658,N/A,Open air,Bildøy Lok. 27,192,Early Mesolithic,285077.861,6698173.447,18.26377106,17.23456364,16.88147354,15.30854321,0.937814132,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/211658-1
Mainland,Hordaland,Stord,4614,Almås,56,3,156347,N/A,Open air,Dyråsen lokalitet 1,115.24,Early Mesolithic,298886.7288,6631110.143,19.70355225,18.40601246,18.71671486,17.74855423,0.902539394,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/156347-1
Outer coast,Hordaland,Bømlo,4613,N/A,11,149,150756,N/A,Open air,Naustbakken lok. 2,1915,Early Mesolithic,294802.9215,6625995.193,22.98381805,20.20087321,20.22037506,17.96697807,1.101603021,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/150756-1
Outer coast,Hordaland,Bømlo,4613,N/A,11,149,150752,N/A,Open air,Naustbakken lok. 1,550,Early Mesolithic,294733.6968,6626051.127,26.23322868,25.27981813,25.08831406,24.80733109,0.449850431,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/150752-1
Fjords,Hordaland,N/A,N/A,N/A,N/A,N/A,267020,N/A,Open air,Frugarden - lokalitet 5,320,Early Mesolithic,303833.087,6633029.257,28.12607193,26.37852923,25.97097588,25.03853989,1.293003824,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/267020-0
Outer coast,Hordaland,Stord,4614,Digernes,52,2,108642,B15348,Open air,"Digernes - Lok. 122, Midthaugen",100,Early Mesolithic,298058.4446,6629543.519,27.01508904,26.14237881,26.14237881,25.26966858,0.872710228,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/108642-1
Fjords,Hordaland,Øygarden,4626,Vik,34,N/A,N/A,B13502,Open air,Boplassfunn (lok. 16 A Ing.),144,Early Mesolithic,277625,6710321,N/A,N/A,N/A,N/A,N/A,18.12062263,https://www.unimus.no/felles/arkeologi/index_katalog.php?museum=um&museumsnr=B13502
Outer coast,Sogn og Fjordane,Fjaler,4646,Lutentun,274,9,122474,B16613,Open air,Lok 5 Lutelandet,93.01,Early Mesolithic,284291.1648,6797110.588,11.92881298,11.56598323,11.50163412,10.89127159,0.479606758,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/122474-1
Fjords,Sogn og Fjordane,Fjaler,4646,Lutentun,274,9,122479,N/A,Open air,Lok 10 Lutelandet,790,Early Mesolithic,283952.6032,6797132.844,14.17621136,12.7054566,12.64959526,11.41284847,0.955493794,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/122479-1
Fjords,Sunnmøre,Ålesund,1507,Skorbreivik,386,5,95740,B16019,Open air,Baraldsnes. Baraldsneset Site 17,40,Early Mesolithic,375248.0202,6945896.293,20.09831238,19.95895767,19.95895767,19.81960297,0.139354706,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95740-1
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,95744,B16023,Open air,Baraldsnes. Baraldsneset Site 31,120,Early Mesolithic,375222.4184,6945984.705,17.50066757,16.76037097,16.84333229,15.76749516,0.641703604,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95744-1
Outer coast,Sunnmøre,N/A,N/A,N/A,N/A,N/A,146721,B16835,Open air,Langfjelldalen 1,81,Early Mesolithic,430991.2716,6920934.787,741.9414063,740.5583719,740.8914185,739.8164673,0.877561671,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/146721-1
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,243447,B18144,Open air,Boplass/aktivitetsområde - Automatisk fredet,330,Early Mesolithic,361701.6028,6926155.851,19.51408005,19.34950672,19.34625053,19.30035591,0.095788443,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/243447-0
Mainland,Sunnmøre,N/A,N/A,N/A,N/A,N/A,95618,B16036,Open air,Baraldsnes. Skårbreivik Site 25,30,Early Mesolithic,375141.8461,6945734.729,26.04272461,22.80352211,24.0304451,21.85977173,1.807950895,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95618-1
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,95603,B16031,Open air,Baraldsnes. Skårbreivik site 20,50,Early Mesolithic,375235.8754,6945701.243,21.66952705,20.80629667,20.95690155,19.7924614,0.773673163,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95603-1
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,95743,B16022,Open air,Baraldsnes. Baraldsneset Site 30,20,Early Mesolithic,375260.8003,6945972.958,17.86711121,17.23684111,17.20035172,15.88563728,0.677716966,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95743-1
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,95745,B16061,Open air,Baraldsnes. Baraldsneset Site 41,354,Early Mesolithic,375244.9632,6945833.35,21.92339134,21.63041496,21.84981155,21.11804199,0.363545542,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95745-1
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,95600,B16030,Open air,Baraldsnes. Skårbreivik Site 10,150,Early Mesolithic,375125.8293,6945898.605,24.07469559,23.83817101,23.83817101,23.60164642,0.236524582,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95600-1
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,95596,N/A,Open air,Lok 8,168.75,Early Mesolithic,375172.9376,6945991.83,19.33303642,17.59411526,17.59411526,15.85519409,1.738921165,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95596-1
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,242366,N/A,Open air,Langfjelldalen III,112.1,Early Mesolithic,429951.2628,6921284.522,719.7157593,719.5743856,719.5389709,719.428894,0.113398751,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/242366-0
Fjords,Hordaland,N/A,N/A,N/A,N/A,N/A,N/A,B12593,Open air,N/A,225,Early Mesolithic,267790,6745380,N/A,N/A,N/A,N/A,N/A,14.08979988,N/A
