Ecozone,Admn.County,Muncipality,Muncipality_nr,Farmstead,Gnr,Bnr,AskeladdenID,UiB.nr,Site type,Site name,m2,Conventional date,X (UTM32N),Y (UTM32N),M.a.s.l (Geom_Max),M.a.s.l (Geom_Mean),M.a.s.l (Geom_Median),M.a.s.l (Geom_Min),M.a.s.l (Geom_Stdev),M.a.s.l (Single point),Reference
Outer coast,Hordaland,Bømlo,4613,N/A,N/A,N/A,135069,N/A,Open air,Nedre Nesse Lok 1,1101.32,Early/Middle Neolithic,282418.9423,6634505.145,13.99542141,10.32696238,10.54993057,6.886282921,2.357687615,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/135069-1
Fjords,Hordaland,Øygarden,4626,N/A,N/A,N/A,6052,N/A,Open air,Glesnes - Fetts fk. 5/1,605.5,Early/Middle Neolithic,279778.3776,6682982.935,10.15331841,8.228079875,7.748069048,6.736347675,1.265738338,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/6052-1
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,6056,N/A,Open air,Toft - Fetts fk. 11/1-2,858.5,Early/Middle Neolithic,282004.8138,6681013.416,15.66804409,14.76524341,14.95270729,13.68839455,0.600797641,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/6056-1
Outer coast,Hordaland,Eidfjord,4619,N/A,N/A,N/A,126885,B12246/B13011,Open air,Lok 542 Heisandtjern,52.91,Early/Middle Neolithic,410306.1788,6675979.032,1244,1244,1244,1244,0,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/126885-1
Fjords,Hordaland,Alver,4631,N/A,N/A,N/A,121848,N/A,Open air,"Lokalitet 7, Flatøy",41.71,Early/Middle Neolithic,294631.4323,6717412.381,12.92582893,12.74052664,12.26342106,11.60101318,0.816341797,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/121848-1
Outer coast,Hordaland,Eidfjord,4619,N/A,N/A,N/A,130839,B12263,Open air,Lok. 760 Finnsbergvatn,9,Early/Middle Neolithic,423769.4428,6706884.148,1190.578735,1190.578735,1190.578735,1190.578735,0,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/130839-1
Fjords,Hordaland,Eidfjord,4619,N/A,N/A,N/A,130687,B13000,Open air,Lok. 460 Dragøyfjorden,25,Early/Middle Neolithic,427980.0736,6705225.269,1180.501587,1180.395829,1180.341187,1180.267456,0.10527223,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/130687-1
Outer coast,Hordaland,Ullensvang,4618,N/A,N/A,N/A,130801,N/A,Open air,Lok 618 Veivatn,75,Early/Middle Neolithic,384600.6049,6681401.63,1178.533203,1177.527806,1177.800171,1175.59668,1.266787835,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/130801-1
Outer coast,Hordaland,Ullensvang,4618,N/A,N/A,N/A,130802,B12256/B13015,Open air,Lok 634 Veivatn,50,Early/Middle Neolithic,384448.7532,6681142.496,1180.668335,1179.94507,1180.258789,1179.853882,0.428792212,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/130802-1
Outer coast,Hordaland,Bømlo,4613,N/A,N/A,N/A,117495,N/A,Open air,Rolvsnes - Lok. 1 (2007),1768.79,Early/Middle Neolithic,284852.4885,6643770.985,18.47227669,14.37263642,13.74738693,12.58641434,1.744837876,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/117495-1
Fjords,Hordaland,Austevoll,4625,N/A,N/A,N/A,117524,N/A,Open air,Bjånes - Lok. 5,150,Early/Middle Neolithic,289878.5902,6667407.23,12.20063496,8.394630881,4.583720922,1.895172954,4.742665593,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/117524-1
Outer coast,Hordaland,Bjørnafjorden,4624,N/A,N/A,N/A,115452,N/A,Open air,Nordstraumen - Lok. 1 (2001),120.31,Early/Middle Neolithic,299620.2137,6681416.789,16.37280083,15.57561384,15.89845085,12.55291748,1.614808334,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/115452-1
Outer coast,Hordaland,Alver,4631,Flatøy,1,N/A,122544,B13525,Open air,122544-1,103.55,Early/Middle Neolithic,294628.8982,6717429.689,14.92591476,14.59578303,14.66977262,13.40769672,0.642692355,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/122544-1
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,116667,N/A,Open air,Lokalitet 8 Hjellestad,120,Early/Middle Neolithic,291739.1331,6684894.031,16.83946419,13.31283433,13.44095469,11.68162918,1.87811133,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/116667-1
Outer coast,Hordaland,Austevoll,4625,N/A,N/A,N/A,118536,N/A,Open air,"Storebø - Lok. 1, Prestaneset / Prestaneset Lok. 1",198,Early/Middle Neolithic,289762.5122,6668114.595,16.43937874,14.54940456,13.88689232,12.50584221,1.400431206,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/118536-1
Mainland,Hordaland,Ullensvang,4618,N/A,N/A,N/A,112805,B8813,Open air,Sævarhagen - Fetts fk. 3 (B8813),168.75,Early/Middle Neolithic,355148.7191,6692860.466,12.79914665,11.15270871,10.72614527,8.510271072,1.728850937,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/112805-1
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,113764,N/A,Open air,"Myro - Lok. 1, Håkonshella",300,Early/Middle Neolithic,289295.5733,6696109.072,14.99318123,14.39019632,14.58505535,13.39749336,0.601623507,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/113764-1
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,113939,N/A,Rock shelter,"Fana - Heller, Sageneset",4,Early/Middle Neolithic,297147.6021,6685609.262,41.48252869,27.69151287,28.34079456,12.34482002,11.58668006,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/113939-1
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,114010,N/A,Open air,Nordeide - Steinalderlokalitet (1983),545.49,Early/Middle Neolithic,294618.8248,6692568.018,10.94962883,9.105652332,8.931772232,7.578136444,1.034935108,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/114010-1
Fjords,Hordaland,Øygarden,4626,N/A,N/A,N/A,111338,N/A,Open air,Tjeldstø - Lokalitet 9,678.11,Early/Middle Neolithic,272164.9511,6724848.297,12.36623573,10.80636515,10.55085945,9.267702103,1.097780514,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/111338-1
Fjords,Hordaland,Øygarden,4626,N/A,N/A,N/A,111339,N/A,Open air,Tjeldstø - Lokalitet 10,281.43,Early/Middle Neolithic,272407.8094,6724872.078,15.18200779,14.27746995,14.82491016,12.82549191,1.037002047,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/111339-1
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,114561,N/A,Open air,"Glesnes - Lok. 6, Kvernavika",300,Early/Middle Neolithic,281277.9055,6681889.442,12.55984688,12.08365965,12.08365965,11.60747242,0.476187229,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/114561-1
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,114562,N/A,Open air,"Glesnes - Lok. 7, Kvernavika",500,Early/Middle Neolithic,281250.0589,6681916.214,16.53391838,14.70793476,14.9153223,13.07957649,1.249914936,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/114562-1
Fjords,Hordaland,N/A,N/A,N/A,N/A,N/A,114563,N/A,Open air,"Glesnes - Lok. 1, Porsvika",1300,Early/Middle Neolithic,281255.9332,6681666.684,17.05335999,13.32573096,12.95495701,10.97642136,1.616996048,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/114563-1
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,113883,B16151,Open air,"Stend - Lok. 2, Stendavika / Lok. 2, Stendavika.",80,Early/Middle Neolithic,296427.5901,6687113.386,14.58942986,13.32274508,13.48731136,11.72692776,1.143615239,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/113883-1
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,113839,B13454,Open air,"Tellevik - Lok. 1, Klauvaneset",20,Early/Middle Neolithic,295512.7241,6715101.7,17.63386154,16.91623306,16.91623306,16.19860458,0.717628479,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/113839-1
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,113767,N/A,Open air,Myro - Lok. 2b. Håkonshella,500,Early/Middle Neolithic,289301.9477,6696174.137,10.93709564,9.994152705,9.575568199,9.469794273,0.668158199,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/113767-1
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,113773,B16854,Open air,"Myro - Lok. 7, Håkonshella",150,Early/Middle Neolithic,289323.8304,6696059.872,12.20277214,11.55380011,11.49116516,10.79799652,0.542177402,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/113773-1
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,95713,N/A,Open air,Langøy - Lok. 4,507.19,Early/Middle Neolithic,278316.4281,6696395.397,15.74911594,14.25575886,14.25568104,12.13636398,1.349717821,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95713-1
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,95640,N/A,Open air,"Haganes, Lok. 1, Hedlemyra",416.05,Early/Middle Neolithic,285370.1771,6688679.758,19.52426147,17.44469738,17.08398724,16.08655357,1.298587109,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95640-1
Fjords,Hordaland,Bømlo,4613,N/A,N/A,N/A,96508,B15422,Open air,"Spissøy - Lok. 141, Litle Skiftesvika",100,Early/Middle Neolithic,295644.0117,6627585.373,10.91040802,4.795047023,9.303726196,2.866990566,4.4271214,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96508-1
Fjords,Hordaland,Øygarden,4626,N/A,N/A,N/A,95634,B15017,Open air,"Bjorøy - Lok. 25, Gavlhaugane",391.76,Early/Middle Neolithic,288962.1341,6694867.494,11.20681,10.59969783,10.70696831,9.778044701,0.516554953,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95634-1
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,111318,N/A,Open air,Tjeldstø - Lokalitet 2,1250,Early/Middle Neolithic,272522.3428,6724379.589,14.40202332,11.79085174,11.43473053,10.08667374,1.184874773,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/111318-1
Fjords,Hordaland,Øygarden,4626,N/A,N/A,N/A,111326,N/A,Open air,Tjeldstø - Lokalitet 4,891.95,Early/Middle Neolithic,272450.1699,6724407.359,14.95491886,13.74581802,13.72305441,12.5884409,0.694235732,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/111326-1
Mainland,Hordaland,Bømlo,4613,N/A,N/A,N/A,96423,N/A,Open air,Spissøy - Lok. 7,400,Early/Middle Neolithic,296328.3478,6625936.587,13.00448132,11.3046054,11.26062822,9.72362709,0.959696879,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96423-1
Fjords,Hordaland,Øygarden,4626,Bjorøy,50,N/A,95611,B14575,Open air,"Bjorøy - Lok. 9, Steinsundbotn",516.51,Early/Middle Neolithic,287895.7229,6693326.694,14.8407259,12.36958275,12.58941841,9.794261932,1.663890575,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95611-1
Outer coast,Hordaland,Bømlo,4613,N/A,N/A,N/A,96153,N/A,Open air,Innvær - Lok. 4,150,Early/Middle Neolithic,289574.2624,6635094.077,12.25825691,10.45617986,10.12313509,9.320192337,1.096895026,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96153-1
Outer coast,Hordaland,Øygarden,4626,Vik,34,N/A,95519,B13511,Open air,Vik - Lok. 14,15,Early/Middle Neolithic,277321.448,6710173.474,19.31001663,17.89341995,18.32626343,14.67080402,1.426918287,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95519-1
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,95158,N/A,Open air,"Vik - Lok. 5, Stegeviksvatnet",406.12,Early/Middle Neolithic,277654.015,6710249.048,16.1333065,14.41831799,15.41117382,10.54175472,2.019812341,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95158-1
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,95731,N/A,Open air,Vindenes - Lok. 68 (Høybøen),92.43,Early/Middle Neolithic,279502.66,6707424.744,15.66501617,15.17515612,15.17515612,14.68529606,0.489860058,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95731-1
Outer coast,Hordaland,Kvinnherad,4617,N/A,N/A,N/A,95062,N/A,Open air,"Sæbø - Lok. 3, Ystevika",1090.91,Early/Middle Neolithic,316283.5649,6635158.412,16.18694687,11.65962463,11.55747414,5.645713806,3.12323609,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95062-1
Fjords,Hordaland,Alver,4631,N/A,N/A,N/A,107897,B12782,Open air,Flatøy - Lok. VIII,118.74,Early/Middle Neolithic,294720.4475,6716694.859,13.73945141,12.86969088,12.93527079,12.1610527,0.553105834,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/107897-1
Fjords,Hordaland,Alver,4631,Industritomt,1,291,107895,B12881,Open air,Flatøy - Lok. V,65.99,Early/Middle Neolithic,294691.8941,6716807.229,7.711238861,7.274222505,7.385715485,6.747490883,0.395735125,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/107895-1
Fjords,Hordaland,Fitjar,4615,N/A,61,N/A,108471,N/A,Open air,"Vespestad - Lok. 1, Kobbahola",11.25,Early/Middle Neolithic,292016.517,6645770.443,21.47594833,15.26807924,15.34960413,9.38611412,2.959725993,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/lokalitetdetails/108471
Fjords,Hordaland,Fitjar,4615,N/A,N/A,N/A,108472,N/A,Open air,"Fitjar - Lok. 1, Havn",806.8,Early/Middle Neolithic,294232.0428,6648851.892,13.02224922,12.24559951,12.35664415,11.34389782,0.656630549,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/108472-1
Outer coast,Hordaland,Øygarden,4626,N/A,41,N/A,108479,N/A,Open air,Arefjord - Tona sør,1123.06,Early/Middle Neolithic,287908.6811,6697679.409,18.21675682,15.37615705,15.80640602,11.99220943,1.820207081,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/108479-1
Outer coast,Hordaland,Alver,4631,N/A,304,N/A,108078,B15614,Open air,Leirvik - Lok. 12 (1996),60,Early/Middle Neolithic,285481.8328,6718096.454,15.53572178,12.23900382,12.26981974,11.33593178,1.748041897,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/108078-1
Outer coast,Hordaland,Alver,4631,N/A,304,25,108079,B15615,Open air,Leirvik - Lok. 13 (1996),100,Early/Middle Neolithic,285054.3542,6717744.172,19.5510025,17.35205958,17.20866966,16.83319664,0.672773051,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/108079-1
Outer coast,Hordaland,Alver,4631,N/A,304,N/A,108076,B15612,Open air,Leirvik - Lok. 10 (1996),111.57,Early/Middle Neolithic,285522.6861,6718141.264,10.34790993,6.736118462,6.484136581,4.235944271,2.018496216,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/108076-1
Outer coast,Hordaland,Alver,4631,Flatøy,1,342,107964,B14754,Open air,Flatøy - Krossnes 7,10,Early/Middle Neolithic,294705.2415,6716335.759,11.60256577,11.60256577,11.60256577,11.60256577,0,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/107964-1
Outer coast,Hordaland,Alver,4631,N/A,1,N/A,107966,B14755,Open air,Flatøy - Krossnes 8,75,Early/Middle Neolithic,294753.7133,6716572.563,11.92645645,11.21683814,11.4764185,11.14216423,0.448158735,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/107966-1
Outer coast,Hordaland,Alver,4631,Hjelten,1,6,107940,B13529,Open air,"Flatøy - Lok. 6 (1986), Midtmarka",111.18,Early/Middle Neolithic,294694.5298,6717405.942,16.78544998,14.23547341,14.12451649,10.67842388,2.11666947,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/107940-1
Outer coast,Hordaland,Kvinnherad,4617,N/A,N/A,N/A,107608,N/A,Open air,Skåla - Lok. 2,669.11,Early/Middle Neolithic,332888.7776,6653961.427,19.23781013,18.32157462,18.15649986,17.49585342,0.575279498,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/107608-1
Fjords,Hordaland,Sveio,4612,N/A,N/A,N/A,106312,N/A,Open air,Førde - Lokalitet 2 (1999),781.46,Early/Middle Neolithic,300679.7911,6613372.947,13.99367237,12.58737223,12.43644238,10.80129528,1.043582156,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/106312-1
Mainland,Hordaland,Sveio,4612,N/A,N/A,N/A,106315,B12335,Open air,"Solheim - Lok. 5, Nedrebøen",599.16,Early/Middle Neolithic,301227.0331,6613598.949,19.26770782,17.81004878,17.43126488,16.75638962,0.880029348,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/106315-1
Outer coast,Hordaland,Sveio,4612,Tjernagel,49,1,106082,B7264,Open air,"Tjernagel - Fetts fk. 6, Hamnedalen",818.97,Early/Middle Neolithic,293188.3784,6615356.685,15.30417252,12.71327877,12.46167278,10.23955917,1.592718706,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/106082-1
Outer coast,Hordaland,Austevoll,4625,N/A,N/A,N/A,97713,N/A,Open air,Bekkjarvik - Lok. 1 (2002),2400,Early/Middle Neolithic,288490.4097,6657480.053,20.70214081,10.0414744,9.072470665,5.250700951,3.801365335,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/97713-1
Fjords,Hordaland,Sveio,4612,Feste 2 Røykenes,111,3,106047,B9668/B12326,Open air,"Røykjenes - Fetts fk. 6/2, Storehagen II",246.72,Early/Middle Neolithic,303537.5329,6611355.914,8.916471481,7.929299474,8.085491419,6.629743576,0.842913839,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/106047-1
Fjords,Hordaland,N/A,N/A,N/A,N/A,N/A,231926,B17934,Open air,Steinalderlokalitet Nordre Lauvåsvika,132.78,Early/Middle Neolithic,287558.9914,6743643.404,13.42397881,11.66201193,11.46078062,10.55606747,1.098950174,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/231926-0
Fjords,Hordaland,N/A,N/A,N/A,N/A,N/A,231934,B17936,Open air,Steinalder funnstad 2- Nordre Lauvåsvika,4.72,Early/Middle Neolithic,287544.5157,6743659.055,13.5967474,13.28992467,13.18920135,12.78165531,0.419808247,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/231934-0
Outer coast,Hordaland,N/A,N/A,N/A,N/A,N/A,231935,N/A,Open air,Steinalder funnstad 3 -Nordre Lauvåsvika,3.97,Early/Middle Neolithic,287530.7565,6743665.109,14.12892818,14.12892818,14.12892818,14.12892818,0,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/231935-0
Fjords,Hordaland,N/A,N/A,N/A,N/A,N/A,231857,B8127,Open air,Hallaråkeren,21.9,Early/Middle Neolithic,325464.309,6728857.302,36.62165451,33.41645196,35.01127434,33.40089417,2.266447155,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/231857-0
Outer coast,Hordaland,N/A,N/A,N/A,N/A,N/A,228944,N/A,Open air,Eide lok 6 2017 / Steinalderlokalitet,184.29,Early/Middle Neolithic,278585.9246,6700201.032,13.08490276,12.89316273,12.89316273,12.70142269,0.191740036,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/228944-1
Outer coast,Hordaland,N/A,N/A,N/A,N/A,N/A,228945,N/A,Open air,Eide lok 7 2017 / Steinalderlokalitet,104.08,Early/Middle Neolithic,278633.2366,6700246.345,13.85562611,13.5193696,13.5193696,13.1831131,0.336256504,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/228945-1
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,97668,B13063/B13065,Open air,"Isdal - Lok. 3/4, Hagelsund",1129.92,Early/Middle Neolithic,295805.1382,6717866.546,15.19992256,13.50220283,13.75319672,10.95052242,1.308882559,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/97668-1
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,216841,B17499,Open air,Hitsøy - lok 6,750,Early/Middle Neolithic,275690.8508,6692631.257,12.53664398,11.4180905,11.44049215,10.30339527,0.687752822,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/216841-1
Mainland,Hordaland,N/A,N/A,N/A,N/A,N/A,231145,N/A,Open air,Funnstad frå Steinalder- Garnes,1.24,Early/Middle Neolithic,305880.3428,6706223.712,14.27947044,14.27947044,14.27947044,14.27947044,1.78E-15,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/231145-0
Outer coast,Hordaland,Bømlo,4613,N/A,N/A,N/A,191539,N/A,Open air,Stongarvågen 1,832.73,Early/Middle Neolithic,289319.6988,6637298.089,16.603508,15.33734649,15.11093235,14.31200504,0.809232052,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/191539-1
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,179775,B17697,Open air,Austefjorden-Lok. 4 / Lok 4,646.59,Early/Middle Neolithic,282927.2556,6679361.037,15.52175808,14.19529486,14.20188618,12.94407272,0.751777125,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/179775-1
Outer coast,Hordaland,Fitjar,4615,N/A,N/A,N/A,212626,N/A,Open air,Funnsted 3 Avløypet,19.96,Early/Middle Neolithic,288874.0576,6647062.345,12.05087662,12.005335,11.37045479,10.69003296,0.930616329,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/212626-1
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,201606,N/A,Open air,Hitsøy lok 3,131.55,Early/Middle Neolithic,275511.3226,6692823.424,17.99243355,15.42691563,15.33595514,13.75138187,1.2161884,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/201606-1
Fjords,Hordaland,Austevoll,4625,N/A,N/A,N/A,212603,N/A,Open air,Steinalderlokalitet,1000,Early/Middle Neolithic,289586.945,6668523.743,13.67312622,11.6207037,11.47686005,10.04923058,1.029028782,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/212603-1
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,45817,B12668,Open air,Solsvik - Lok. 104,139,Early/Middle Neolithic,278907.3845,6707896.817,15.60980129,14.01167386,13.4020834,10.10409832,2.005119927,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/45817-1
Outer coast,Hordaland,Austrheim,4632,N/A,N/A,N/A,36150,B14547,Open air,"Hopland - Snekkevik 12, Tangane",89,Early/Middle Neolithic,280179.2448,6739875.804,17.37393379,16.53743585,16.96022224,15.27815151,0.906324847,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/lokalitetdetails/36150
Outer coast,Hordaland,Bømlo,4613,N/A,N/A,N/A,55467,N/A,Open air,Hovland - Aurebettjødno III,151.5,Early/Middle Neolithic,287976.4314,6613555.63,13.05668926,10.9379431,10.86398029,8.893578529,1.346443731,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/55467-1
Outer coast,Hordaland,Tysnes,4616,N/A,N/A,N/A,55309,B14349,Open air,Espevik - Lok. 1 (1996),100,Early/Middle Neolithic,312838.6122,6647387.968,16.17488098,16.11182117,16.11182117,16.04876137,0.063059807,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/55309-1
Outer coast,Hordaland,Bergen,4601,Milde,102,1,55450,B8080,Open air,"Milde - Fetts fk. 1, Naustdalen",2231.74,Early/Middle Neolithic,293638.8651,6685294.818,18.98854637,13.67380996,13.89620686,10.36168861,2.125764696,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/55450-1
Fjords,Hordaland,Øygarden,4626,N/A,N/A,N/A,55251,B15630,Open air,"Hellesund - Lok. 5, Lammestokkbrotane",120,Early/Middle Neolithic,270979.0043,6732945.879,12.73721886,11.36058845,11.63015366,10.92786598,0.698942747,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/55251-1
Fjords,Hordaland,Alver,4631,N/A,N/A,N/A,55261,B14523,Open air,Straume - Rappeneset 25,328,Early/Middle Neolithic,279882.486,6739241.654,13.16666794,10.46952856,10.41185379,7.887738705,1.87513354,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/lokalitetdetails/55261
Outer coast,Hordaland,Øygarden,4626,Eide nordre,20,3,160291,N/A,Open air,Eide lok. 4- 2012,306.67,Early/Middle Neolithic,277884.9697,6700288.934,11.82939625,10.1264712,10.86952591,7.680491447,1.773405478,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/160291-1
Fjords,Hordaland,Øygarden,4626,Eide nordre,20,3,160284,N/A,Open air,Eide lok. 1- 2012 / Eide Lok 1 2012,47.82,Early/Middle Neolithic,277842.009,6700457.137,10.79317188,9.175421155,9.687889099,8.582606316,1.218307607,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/160284-1
Outer coast,Hordaland,Øygarden,4626,Eide nordre,20,3,160290,N/A,Open air,Eide lok. 3- 2012,14,Early/Middle Neolithic,277873.7592,6700380.43,22.90010452,14.28792315,13.49333858,7.586639404,5.009820016,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/160290-1
Mainland,Hordaland,Øygarden,4626,N/A,35,N/A,169978,N/A,Open air,Sotrasambandet lok 9 Arefjordpollen,150,Early/Middle Neolithic,287006.9659,6698559.877,14.77446747,14.00056108,14.02635193,13.20086384,0.642679792,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/169978-1
Outer coast,Hordaland,Bergen,4601,Sletten,108,1,158908,N/A,Open air,Slettaneset lokalitet 3,318.79,Early/Middle Neolithic,290836.4413,6688066.761,11.94195461,11.36381745,11.43207598,10.64916325,0.506271555,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/158908-1
Fjords,Hordaland,Austevoll,4625,N/A,44,N/A,149305,N/A,Open air,Bjånes,950,Early/Middle Neolithic,290210.7595,6666629.347,16.10621262,13.0480603,12.98825788,10.36975479,1.902957614,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/149305-1
